Player Name,Line Score,Stat Type
Derrick Jones Jr.,1.5,Blocked Shots
Ivica Zubac,7.5,Rebounds
Terance Mann,0.5,3-PT Made
Daniel Gafford,3.5,Rebounds
Amir Coffey,1.5,Rebounds
P.J. Washington,2.5,Assists
Luka Doncic,0.5,Blocked Shots
Dereck Lively II,1.5,Assists
P.J. Washington,3.5,Rebounds
Derrick Jones Jr.,2.5,Rebounds
Ivica Zubac,0.5,Assists
Dereck Lively II,0.5,Blocked Shots
P.J. Washington,0.5,Steals
Maxi Kleber,1.5,3-PT Made
Dereck Lively II,9.5,Points
Derrick Jones Jr.,1.5,3-PT Made
Daniel Gafford,0.5,Assists
James Harden,1.5,Steals
James Harden,14.5,Points
Amir Coffey,1.5,Assists
Derrick Jones Jr.,0.5,Blocked Shots
Paul George,0.5,Steals
Amir Coffey,0.5,Assists
Paul George,2.5,Assists
P.J. Washington,2.5,3-PT Made
Josh Green,0.5,Assists
Daniel Gafford,0.5,Blocked Shots
Amir Coffey,1.5,Steals
Kyrie Irving,0.5,Blocked Shots
P.J. Washington,7.5,Points
Amir Coffey,0.5,Blocked Shots
P.J. Washington,12.5,Points
Maxi Kleber,1.5,Rebounds
Mason Plumlee,0.5,Blocked Shots
Luka Doncic,0.5,Steals
Luka Doncic,1.5,Steals
Mason Plumlee,2.5,Rebounds
Mason Plumlee,0.5,Steals
Maxi Kleber,0.5,Assists
Maxi Kleber,1.5,Assists
Maxi Kleber,0.5,3-PT Made
James Harden,3.5,3-PT Made
Dereck Lively II,6.5,Rebounds
Josh Green,4.5,Points
Kyrie Irving,26.5,Points
Kyrie Irving,5.5,Assists
Kyrie Irving,3.5,Rebounds
Maxi Kleber,3.5,Rebounds
Luka Doncic,11.5,Rebounds
P.J. Washington,0.5,Assists
Paul George,4.5,Rebounds
Amir Coffey,1.5,3-PT Made
P.J. Washington,0.5,3-PT Made
Ivica Zubac,11.5,Rebounds
Paul George,7.5,Rebounds
Mason Plumlee,4.5,Points
Paul George,4.5,Assists
Dereck Lively II,6.5,Points
Luka Doncic,4.5,3-PT Made
Maxi Kleber,0.5,Steals
Terance Mann,12.5,Points
Ivica Zubac,9.5,Points
Kyrie Irving,19.5,Points
Paul George,2.5,3-PT Made
Daniel Gafford,1.5,Assists
Nikola Jokic,36.5,Pts+Asts
Nikola Jokic,0.5,Blocked Shots
Nikola Jokic,22.0,Rebs+Asts
Nikola Jokic,49.5,Pts+Rebs+Asts
Nikola Jokic,9.0,Assists
Nikola Jokic,40.5,Pts+Rebs
Nikola Jokic,1.5,Steals
Nikola Jokic,27.5,Points
Nikola Jokic,12.5,Rebounds
Anthony Edwards,1.5,Steals
